"Control Record Model for: "	Knowledge Exchange
"Record Type"	"Instance Record"	"Attribute"	"Description"	"Data Type"
"CR"	CR Intellectual Property Exchange Operating Session Instance Record	""	"Operate equipment and/or a largely automated facility  within Knowledge Exchange. . Example: Operate the bank's internal intranet facility."	""
"CR"	CR Intellectual Property Exchange Operating Session Instance Record	Intellectual Property Exchange Operating Session Schedule	"The timetable of Intellectual Property Exchange Operating Session"	String
"CR"	CR Intellectual Property Exchange Operating Session Instance Record	Intellectual Property Exchange Operating Session Status	"The status of Intellectual Property Exchange Operating Session"	String
"CR"	CR Intellectual Property Exchange Operating Session Instance Record	Intellectual Property Exchange Operating Session Usage Log	"Reference to the log of (usage) ativities/events  of Intellectual Property Exchange Operating Session"	String
"CR"	CR Intellectual Property Exchange Operating Session Instance Record	Intellectual Property Exchange Operating Session Reference	"Reference to the party who is involved in Intellectual Property Exchange Operating Session"	Object
"CR"	CR Intellectual Property Exchange Operating Session Instance Record	Intellectual Property Exchange Operating Session ServiceProvider Reference	"Reference to the party who provides the services of Intellectual Property Exchange Operating Session "	Object
"CR"	CR Intellectual Property Exchange Operating Session Instance Record	Intellectual Property Exchange Operating Session Type	"A Classification value that distinguishes between the type of operations within Intellectual Property Exchange Operating Session "	String
"CR"	CR Intellectual Property Exchange Operating Session Instance Record	Intellectual Property Exchange Operating Session Service Provider Schedule	"The schedule according to which the service provider will operate the Intellectual Property Exchange Operating Session"	String
"CR"	CR Intellectual Property Exchange Operating Session Instance Record	Intellectual Property Exchange Operating Session Service Type	"A Classification value that distinguishes between the type of services within Intellectual Property Exchange Operating Session "	String
"CR"	CR Intellectual Property Exchange Operating Session Instance Record	Intellectual Property Exchange Operating Session Service Configuration	"The configuration of Intellectual Property Exchange Operating Session"	String
"BQ"	BQ Capture and  Classification Instance Record	""	"Operate equipment and/or a largely automated facility  within Knowledge Exchange. . Example: Operate the bank's internal intranet facility."	""
"BQ"	BQ Capture and  Classification Instance Record	Capture and  Classification Preconditions	"The required status/situation and or tasks that need to be completed prior to the invocation of the feature"	String
"BQ"	BQ Capture and  Classification Instance Record	Capture and  Classification Function Schedule	"The schedule and timing of the function"	String
"BQ"	BQ Capture and  Classification Instance Record	Content Capture and Classification	"The Intellectual Property Exchange Operating Session specific Business Service"	Business Service
"BQ"	BQ Capture and  Classification Instance Record	Content Capture and Classification Service Type	"Reference to the specific business service type"	String
"BQ"	BQ Capture and  Classification Instance Record	Content Capture and Classification Service Description	"Description of the performed business service"	String
"BQ"	BQ Capture and  Classification Instance Record	Content Capture and Classification Service Inputs and Ouputs	"Mandatory and optional inputs and output information for the business service"	String
